index,Concept,Prerequisite,label_prereq
1,Newton's laws of motion,Motion (physics),1
2,Electrostatics,Distance,1
4,Le Sage's theory of gravitation,Mass,1
6,Intensity (physics),Energy,1
8,Normal force,Force,1
9,Gravity of Earth,Position (vector),1
11,Work (physics),Force,1
13,Shock wave,Distance,1
14,Projectile motion,Distance,1
15,Gravity of Earth,Motion (physics),1
16,Plasticity (physics),Physics,1
17,Electric potential energy,Work (physics),1
18,Photoelectric effect,Physics,1
19,Emission spectrum,Electron,1
20,Electrical resistance and conductance,Electric current,1
21,Magnetic field,Field (physics),1
22,Equations of motion,Force,1
23,Dispersion (optics),Light,1
26,Hardness,Elasticity (physics),1
28,Non-inertial reference frame,Frame of reference,1
29,Elasticity (physics),Physics,1
30,Potential energy,Physics,1
31,Gravitational constant,Force,1
32,Snell's law,Speed,1
34,Sound intensity,Energy,1
35,Collision,Physics,1
36,Electromagnetic spectrum,Field (physics),1
37,Total internal reflection,Refraction,1
38,Le Sage's theory of gravitation,Motion (physics),1
40,Inertial frame of reference,Distance,1
43,Electric potential,Distance,1
44,Refractive index,Wave,1
45,Doppler effect,Wave,1
46,Electromotive force,Voltage,1
48,Insulator (electricity),Electric current,1
49,Motion graphs and derivatives,Euclidean vector,1
50,Frame of reference,Physics,1
51,Electromagnetic spectrum,Energy,1
53,Electric potential,Electric field,1
54,Gravitational constant,Gravity,1
56,Strength of materials,Plasticity (physics),1
57,Newton's law of universal gravitation,Gravity,1
58,Projectile motion,Speed,1
59,Photoelectric effect,Electron,1
61,Mechanical energy,Euclidean vector,1
63,Emission spectrum,Force,1
64,Electric potential,Euclidean vector,1
65,Transverse wave,Physics,1
67,Electrical resistance and conductance,Voltage,1
69,Tension (physics),Force,1
70,Elastic collision,Relative velocity,1
71,Electromagnetic radiation,Magnetic field,1
72,Emission spectrum,Energy level,1
73,Inertial frame of reference,Speed,1
75,Gravitational field,Field (physics),1
76,Collision,Force,1
78,Snell's law,Ray (optics),1
79,Power (physics),Force,1
81,Scalar multiplication,Scalar (mathematics),1
83,Force,Physics,1
84,Gravity,Force,1
86,Sonic boom,Sound,1
87,Energy,Physics,1
89,Gravitational field,Distance,1
90,Emission spectrum,Frequency,1
91,Gravitational field,Force,1
93,Gravitational acceleration,Acceleration,1
95,Reflection (physics),Physics,1
