index,Concept,Prerequisite,label_prereq
0,Gravitational acceleration,Position (vector),1
1,Newton's laws of motion,Motion (physics),1
2,Electrostatics,Distance,1
3,Electrical resistance and conductance,Ohm's law,1
4,Le Sage's theory of gravitation,Mass,1
5,Projectile motion,Gravity,1
6,Intensity (physics),Energy,1
7,Dielectric,Insulator (electricity),1
8,Normal force,Force,1
9,Gravity of Earth,Position (vector),1
10,Acceleration,Position (vector),1
11,Work (physics),Force,1
12,Acceleration,Displacement (vector),1
13,Shock wave,Distance,1
14,Projectile motion,Distance,1
15,Gravity of Earth,Motion (physics),1
16,Plasticity (physics),Physics,1
17,Electric potential energy,Work (physics),1
18,Photoelectric effect,Physics,1
19,Emission spectrum,Electron,1
20,Electrical resistance and conductance,Electric current,1
21,Magnetic field,Field (physics),1
22,Equations of motion,Force,1
24,Doppler effect,Physics,1
25,Gravitational acceleration,Displacement (vector),1
26,Hardness,Elasticity (physics),1
27,Speed,Motion (physics),1
28,Non-inertial reference frame,Frame of reference,1
31,Gravitational constant,Force,1
33,Equations of motion,Physics,1
34,Sound intensity,Energy,1
35,Collision,Physics,1
36,Electromagnetic spectrum,Field (physics),1
37,Total internal reflection,Refraction,1
38,Le Sage's theory of gravitation,Motion (physics),1
39,Gravitational constant,Physics,1
40,Inertial frame of reference,Distance,1
41,Electromagnetic spectrum,Force,1
42,Newton's law of universal gravitation,Physics,1
43,Electric potential,Distance,1
46,Electromotive force,Voltage,1
47,Electric field,Energy,1
48,Insulator (electricity),Electric current,1
50,Frame of reference,Physics,1
52,Energy level,Energy,1
53,Electric potential,Electric field,1
54,Gravitational constant,Gravity,1
55,Elastic collision,Kinetic energy,1
57,Newton's law of universal gravitation,Gravity,1
58,Projectile motion,Speed,1
60,Free fall,Gravitational acceleration,1
61,Mechanical energy,Euclidean vector,1
62,Electric potential,Motion (physics),1
64,Electric potential,Euclidean vector,1
66,Tension (physics),Physics,1
68,Mirror image,Reflection (physics),1
72,Emission spectrum,Energy level,1
74,Specular reflection,Angle of incidence,1
75,Gravitational field,Field (physics),1
77,Inelastic collision,Mass,1
79,Power (physics),Force,1
80,Interference (wave propagation),Physics,1
81,Scalar multiplication,Scalar (mathematics),1
82,Standing wave,Interference (wave propagation),1
83,Force,Physics,1
84,Gravity,Force,1
85,Work (physics),Position (vector),1
86,Sonic boom,Sound,1
87,Energy,Physics,1
88,Electromagnetic spectrum,Wavelength,1
89,Gravitational field,Distance,1
90,Emission spectrum,Frequency,1
91,Gravitational field,Force,1
92,Specular reflection,Wave,1
93,Gravitational acceleration,Acceleration,1
94,Friction,Contact force,1
95,Reflection (physics),Physics,1
96,Strength of materials,Force,1
97,Gravity of Earth,Displacement (vector),1
98,Total internal reflection,Light,1
101,Electric potential energy,Energy,1
102,Magnetic field,Magnet,1
103,Inelastic collision,Collision,1
104,Equations of motion,Speed,1
105,Diffraction,Physics,1
106,Diffraction,Wave,1
107,Free fall,Displacement (vector),1
108,Deformation (engineering),Physics,1
110,Strength of materials,Physics,1
112,Inelastic collision,Physics,1
113,Electromagnetic radiation,Magnet,1
114,Mechanical energy,Velocity,1
116,Dispersion (optics),Phase velocity,1
117,Gravity of Earth,Physics,1
118,Doppler effect,Speed,1
119,Electromotive force,Field (physics),1
121,Interference (wave propagation),Wave,1
122,Interference (wave propagation),Frequency,1
125,Work (physics),Motion (physics),1
126,Mechanical energy,Motion (physics),1
127,Energy level,Physics,1
129,Free fall,Physics,1
130,Equations of motion,Displacement (vector),1
131,Kinetic energy,Energy,1
132,Motion graphs and derivatives,Physics,1
133,Elastic collision,Speed,1
134,Doppler effect,Velocity,1
136,Le Sage's theory of gravitation,Force,1
137,Electrostatics,Potential energy,1
138,Friction,Physics,1
139,Relative velocity,Motion (physics),1
140,Mechanical energy,Distance,1
141,Free fall,Force,1
142,Snell's law,Refraction,1
143,Gravitational field,Gravity,1
144,Strength of materials,Fracture,1
145,Normal force,Contact force,1
146,Absorption spectroscopy,Wave,1
147,Non-inertial reference frame,Motion (physics),1
148,Intensity (physics),Force,1
149,Relative velocity,Velocity,1
150,Electric potential energy,Euclidean vector,1
151,Hooke's law,Length,1
152,Electromagnetic spectrum,Magnetic field,1
153,Potential energy,Energy,1
154,Shock wave,Wave,1
155,Electric potential,Electric potential energy,1
156,Gravity of Earth,Mass,1
157,Virtual image,Ray (optics),1
158,Electrostatics,Euclidean vector,1
159,Motion graphs and derivatives,Displacement (vector),1
160,Sound intensity,Sound,1
161,Acceleration,Distance,1
164,Gravitational acceleration,Motion (physics),1
165,Electrostatics,Coulomb's law,1
166,Gravitational acceleration,Euclidean vector,1
167,Displacement (vector),Euclidean vector,1
169,Stiffness,Physics,1
170,Huygens–Fresnel principle,Amplitude,1
171,Electric potential,Displacement (vector),1
172,Acceleration,Motion (physics),1
174,Velocity,Physics,1
175,Shock wave,Speed,1
176,Contact force,Force,1
177,Standing wave,Frequency,1
178,Electric potential,Potential energy,1
179,Dispersion (optics),Wave,1
180,Newton's laws of motion,Force,1
181,Acceleration,Velocity,1
182,Elasticity (physics),Deformation (engineering),1
183,Capacitance,Voltage,1
184,Electrostatics,Displacement (vector),1
186,Dielectric,Electric field,1
187,Sonic boom,Physics,1
189,Electric field,Physics,1
190,Electromagnetic radiation,Electric field,1
191,Gravity of Earth,Euclidean vector,1
192,Mirror image,Plane mirror,1
193,Snell's law,Wave,1
195,Displacement (vector),Physics,1
197,Position (vector),Euclidean vector,1
198,Potential energy,Motion (physics),1
199,Inelastic collision,Force,1
200,Electromagnetic spectrum,Electric field,1
201,Electrostatics,Physics,1
202,Free fall,Gravity,1
204,Snell's law,Motion (physics),1
205,Inertial frame of reference,Physics,1
206,Sonic boom,Wave,1
207,Doppler effect,Motion (physics),1
208,Rarefaction,Wave,1
209,Potential energy,Work (physics),1
213,Elastic collision,Collision,1
214,Refractive index,Physics,1
215,Projectile motion,Euclidean vector,1
216,Fatigue (material),Deformation (engineering),1
217,Emission spectrum,Wavelength,1
219,Acceleration,Speed,1
221,Electric potential energy,Motion (physics),1
222,Electric potential,Force,1
223,Free fall,Speed,1
224,Friction,Force,1
225,Doppler effect,Distance,1
