Concept,Prerequisite,label_prereq
Bisection,Point (geometry),1
Cartesian coordinate system,Line (geometry),1
Arc (geometry),Circle,1
Edge (geometry),Line (geometry),1
Polygon,Line segment,1
Quadrilateral,Geometry,1
Quadrilateral,Point (geometry),1
Tangent,Angle,1
Grade (slope),Geometry,1
Grade (slope),Line (geometry),1
Isosceles triangle,Triangle,1
Square,Polygon,1
Convex polygon,Polygon,1
Rhombus,Line (geometry),1
Inverse trigonometric functions,Angle,1
Reflection symmetry,Reflection (mathematics),1
Concentric,Geometry,1
Bisection,Midpoint,1
Rotation (mathematics),Geometry,1
Parallel (geometry),Line (geometry),1
Special right triangles,Right angle,1
Special right triangles,Triangle,1
Pythagorean triple,Pythagorean theorem,1
Circle,Geometry,1
Coordinate system,Two-dimensional space,1
Pythagorean triple,Right triangle,1
Line segment,Geometry,1
Kite (geometry),Line (geometry),1
Radius,Line segment,1
Angle bisector theorem,Line segment,1
Two-dimensional space,Plane (geometry),1
Heptagon,Line segment,1
Exterior angle theorem,Angle,1
Dodecagon,Angle,1
Secant line,Geometry,1
Rhombus,Quadrilateral,1
Coordinate system,Geometry,1
Right angle,Angle,1
Diameter,Line (geometry),1
Right triangle,Point (geometry),1
Scaling (geometry),Scale factor,1
Dodecagon,Edge (geometry),1
Isosceles triangle,Edge (geometry),1
Triangle,Geometry,1
Hendecagon,Line segment,1
Tangent,Geometry,1
Star polygon,Line segment,1
Cartesian coordinate system,Coordinate system,1
Kite (geometry),Angle,1
Cartesian coordinate system,Perpendicular,1
Pentagon,Polygon,1
Hendecagon,Vertex (geometry),1
Internal and external angle,Line segment,1
Convex polygon,Geometry,1
Congruence (geometry),Angle,1
Square,Geometry,1
Coordinate system,Plane (geometry),1
Parallelogram,Edge (geometry),1
Exterior angle theorem,Line segment,1
Special right triangles,Vertex (geometry),1
Decagon,Vertex (geometry),1
Reflection symmetry,Symmetry,1
Rectangle,Point (geometry),1
Trigonometric functions,Polygon,1
Translation (geometry),Symmetry,1
Right triangle,Polygon,1
Right triangle,Vertex (geometry),1
Reflection symmetry,Line (geometry),1
Heptagon,Vertex (geometry),1
Cone,Geometry,1
Pyramid (geometry),Line segment,1
Sine,Geometry,1
Prism (geometry),Polygon,1
Rhombus,Parallelogram,1
Collinearity,Point (geometry),1
Acute and obtuse triangles,Triangle,1
Trigonometric functions,Line (geometry),1
Star polygon,Angle,1
Arc length,Distance,1
Rhombus,Vertex (geometry),1
Rectangle,Right angle,1
Inverse trigonometric functions,Trigonometric functions,1
Trigonometric functions,Edge (geometry),1
Chord (geometry),Geometry,1
Chord (geometry),Point (geometry),1
Right angle,Geometry,1
Sine,Trigonometric functions,1
Diagonal,Angle,1
Coordinate system,Point (geometry),1
Inverse trigonometric functions,Vertex (geometry),1
Pythagorean theorem,Edge (geometry),1
Self-similarity,Symmetry,1
Altitude (triangle),Geometry,1
Equilateral triangle,Angle,1
Rigid transformation,Rotation (mathematics),1
Square,Quadrilateral,1
Convex polygon,Edge (geometry),1
Kite (geometry),Point (geometry),1
Trapezoid,Angle,1
Skew lines,Plane (geometry),1
Heptagon,Angle,1
Polyhedron,Point (geometry),1
Cross section (geometry),Geometry,1
Rigid transformation,Geometry,1
Nonagon,Angle,1
Rectangle,Line (geometry),1
Reflection (mathematics),Line (geometry),1
Rectangle,Angle,1
Equilateral triangle,Geometry,1
Octagon,Line segment,1
Sphere,Geometry,1
Internal and external angle,Vertex (geometry),1
Reflection (mathematics),Geometry,1
Cartesian coordinate system,Geometry,1
Acute and obtuse triangles,Vertex (geometry),1
Diameter,Line segment,1
Sine,Polygon,1
Transversal (geometry),Plane (geometry),1
Square,Right angle,1
Pythagorean triple,Triangle,1
Polyhedron,Line (geometry),1
Square,Vertex (geometry),1
Angle bisector theorem,Polygon,1
Pentagon,Angle,1
Rigid transformation,Point (geometry),1
Rigid transformation,Reflection (mathematics),1
Hendecagon,Angle,1
Exterior angle theorem,Edge (geometry),1
Arc length,Arc (geometry),1
Secant line,Point (geometry),1
Star polygon,Edge (geometry),1
Decagon,Line (geometry),1
Transversal (geometry),Angle,1
Line segment,Point (geometry),1
Altitude (triangle),Point (geometry),1
Prism (geometry),Point (geometry),1
Right angle,Line (geometry),1
Chord (geometry),Line (geometry),1
Kite (geometry),Edge (geometry),1
Triangle,Angle,1
Circumference,Circle,1
Diameter,Radius,1
Star polygon,Vertex (geometry),1
Inverse trigonometric functions,Polygon,1
Heptagon,Point (geometry),1
Triangle inequality,Triangle,1
Quadrilateral,Vertex (geometry),1
Rotation (mathematics),Angle,1
Hexagon,Geometry,1
Midpoint,Line (geometry),1
Pyramid (geometry),Edge (geometry),1
Cross section (geometry),Plane (geometry),1
Vertex (geometry),Geometry,1
Reflection symmetry,Geometry,1
Hendecagon,Geometry,1
Self-similarity,Geometry,1
Right triangle,Right angle,1
Pythagorean triple,Line (geometry),1
Arc (geometry),Geometry,1
Cartesian coordinate system,Point (geometry),1
Cartesian coordinate system,Two-dimensional space,1
Triangle inequality,Line segment,1
Special right triangles,Line segment,1
Decagon,Point (geometry),1
Pentagon,Point (geometry),1
Rotation (mathematics),Symmetry,1
Acute and obtuse triangles,Geometry,1
Pythagorean theorem,Line segment,1
Exterior angle theorem,Geometry,1
Equilateral triangle,Line segment,1
Exterior angle theorem,Point (geometry),1
Angle bisector theorem,Geometry,1
Tangent,Line (geometry),1
Rectangle,Quadrilateral,1
Internal and external angle,Line (geometry),1
Slope,Geometry,1
Prism (geometry),Geometry,1
Rotational symmetry,Line (geometry),1
Acute and obtuse triangles,Angle,1
Vertex (geometry),Point (geometry),1
Inverse trigonometric functions,Geometry,1
Exterior angle theorem,Internal and external angle,1
Acute and obtuse triangles,Point (geometry),1
Hexagon,Line segment,1
Parallelogram,Geometry,1
Angle bisector theorem,Angle,1
Kite (geometry),Geometry,1
Point (geometry),Geometry,1
Cartesian coordinate system,Plane (geometry),1
Altitude (triangle),Vertex (geometry),1
Quadrilateral,Line segment,1
Triangle inequality,Polygon,1
Reflection symmetry,Point (geometry),1
Isosceles triangle,Polygon,1
Prism (geometry),Face (geometry),1
Quadrilateral,Polygon,1
Rectangle,Parallelogram,1
Tangent,Point (geometry),1
Rhombus,Geometry,1
Cartesian coordinate system,Angle,1
Trapezoid,Geometry,1
Reflection (mathematics),Symmetry,1
Pythagorean theorem,Line (geometry),1
Pyramid (geometry),Geometry,1
Pythagorean triple,Edge (geometry),1
Equilateral triangle,Line (geometry),1
Trapezoid,Line (geometry),1
Right triangle,Triangle,1
Tangent,Trigonometric functions,1
Prism (geometry),Polyhedron,1
Bisection,Line segment,1
Tessellation,Plane (geometry),1
Congruence (geometry),Vertex (geometry),1
Angle bisector theorem,Triangle,1
Triangle,Polygon,1
Octagon,Angle,1
Equilateral triangle,Polygon,1
Square,Parallel (geometry),1
Reflection (mathematics),Angle,1
Symmetry,Geometry,1
Parallelogram,Line segment,1
Sine,Triangle,1
Heptagon,Polygon,1
Isosceles triangle,Angle,1
Trapezoid,Point (geometry),1
Face (geometry),Geometry,1
Inverse trigonometric functions,Triangle,1
Special right triangles,Edge (geometry),1
Right triangle,Line (geometry),1
Rotational symmetry,Geometry,1
Rectangle,Polygon,1
Triangle,Vertex (geometry),1
Pythagorean theorem,Triangle,1
Prism (geometry),Edge (geometry),1
Polygon,Angle,1
Square,Parallelogram,1
Prism (geometry),Line (geometry),1
Internal and external angle,Point (geometry),1
Special right triangles,Angle,1
Diagonal,Edge (geometry),1
Special right triangles,Line (geometry),1
Rhombus,Polygon,1
Reflection symmetry,Angle,1
Triangle,Point (geometry),1
Triangle inequality,Line (geometry),1
Altitude (triangle),Line segment,1
Collinearity,Geometry,1
Skew lines,Line (geometry),1
Edge (geometry),Point (geometry),1
Equilateral triangle,Edge (geometry),1
Octagon,Edge (geometry),1
Isosceles triangle,Line (geometry),1
Star polygon,Point (geometry),1
Grade (slope),Point (geometry),1
Pyramid (geometry),Point (geometry),1
Hendecagon,Polygon,1
Pythagorean triple,Point (geometry),1
Dodecagon,Line (geometry),1
Special right triangles,Polygon,1
Rigid transformation,Angle,1
Trigonometric functions,Vertex (geometry),1
Hendecagon,Point (geometry),1
Nonagon,Edge (geometry),1
Grade (slope),Slope,1
Equilateral triangle,Triangle,1
Altitude (triangle),Perpendicular,1
Dodecagon,Geometry,1
Quadrilateral,Edge (geometry),1
Angle,Geometry,1
Hendecagon,Line (geometry),1
Bisection,Angle,1
Rectangle,Edge (geometry),1
Transversal (geometry),Line (geometry),1
Chord (geometry),Line segment,1
Reflection (mathematics),Point (geometry),1
Altitude (triangle),Angle,1
Chord (geometry),Circle,1
Skew lines,Geometry,1
Diameter,Circle,1
Quadrilateral,Angle,1
Pythagorean theorem,Vertex (geometry),1
Hexagon,Edge (geometry),1
Rectangle,Line segment,1
Convex polygon,Vertex (geometry),1
Tessellation,Geometry,1
Arc length,Geometry,1
Dodecagon,Line segment,1
Inverse trigonometric functions,Point (geometry),1
Heptagon,Line (geometry),1
Pythagorean theorem,Point (geometry),1
Radius,Line (geometry),1
Cone,Circle,1
Kite (geometry),Line segment,1
Convex polygon,Angle,1
Angle bisector theorem,Vertex (geometry),1
Parallelogram,Angle,1
Tangent,Triangle,1
Star polygon,Geometry,1
Internal and external angle,Edge (geometry),1
Isosceles triangle,Geometry,1
Octagon,Polygon,1
Two-dimensional space,Geometry,1
Octagon,Point (geometry),1
Rhombus,Line segment,1
Diagonal,Geometry,1
Reflection (mathematics),Rotation (mathematics),1
Kite (geometry),Quadrilateral,1
Octagon,Line (geometry),1
Pentagon,Line (geometry),1
Acute and obtuse triangles,Polygon,1
Edge (geometry),Geometry,1
Right angle,Point (geometry),1
Exterior angle theorem,Polygon,1
Decagon,Angle,1
Square,Rectangle,1
Sine,Line segment,1
Internal and external angle,Polygon,1
Tangent,Edge (geometry),1
Pyramid (geometry),Line (geometry),1
Two-dimensional space,Point (geometry),1
Pythagorean theorem,Geometry,1
Arc length,Circle,1
Polygon,Vertex (geometry),1
Acute and obtuse triangles,Line (geometry),1
Isosceles triangle,Point (geometry),1
Parallelogram,Point (geometry),1
Prism (geometry),Vertex (geometry),1
Sine,Vertex (geometry),1
Rigid transformation,Line (geometry),1
Nonagon,Geometry,1
Dodecagon,Vertex (geometry),1
Pyramid (geometry),Polygon,1
Triangle inequality,Edge (geometry),1
Prism (geometry),Line segment,1
Perpendicular,Point (geometry),1
Parallel (geometry),Point (geometry),1
Perpendicular,Geometry,1
Slope,Point (geometry),1
Right triangle,Line segment,1
Polyhedron,Angle,1
Triangle inequality,Angle,1
Angle bisector theorem,Bisection,1
Special right triangles,Right triangle,1
Parallelogram,Line (geometry),1
Star polygon,Line (geometry),1
Altitude (triangle),Edge (geometry),1
Right triangle,Edge (geometry),1
Cylinder (geometry),Geometry,1
Pentagon,Geometry,1
Radius,Geometry,1
Circumference,Geometry,1
Rigid transformation,Translation (geometry),1
Angle bisector theorem,Midpoint,1
Star polygon,Polygon,1
Prism (geometry),Parallel (geometry),1
Square,Angle,1
Slope,Line (geometry),1
Internal and external angle,Geometry,1
Angle bisector theorem,Edge (geometry),1
Bisection,Line (geometry),1
Line (geometry),Geometry,1
Trigonometric functions,Geometry,1
Diagonal,Point (geometry),1
Edge (geometry),Vertex (geometry),1
Angle bisector theorem,Line (geometry),1
Exterior angle theorem,Line (geometry),1
Radius,Circle,1
Transversal (geometry),Geometry,1
Diagonal,Polygon,1
Equilateral triangle,Point (geometry),1
Decagon,Polygon,1
Pythagorean triple,Geometry,1
Pythagorean triple,Angle,1
Parallelogram,Vertex (geometry),1
Congruence (geometry),Geometry,1
Translation (geometry),Geometry,1
Square,Line (geometry),1
Convex polygon,Line (geometry),1
Midpoint,Geometry,1
Hexagon,Line (geometry),1
Collinearity,Line (geometry),1
Nonagon,Polygon,1
Bisection,Geometry,1
Pythagorean triple,Vertex (geometry),1
Isosceles triangle,Line segment,1
