Concept,Prerequisite,label_prereq
Congruence (geometry),Line segment,1
Bisection,Point (geometry),1
Cartesian coordinate system,Line (geometry),1
Arc (geometry),Circle,1
Edge (geometry),Line (geometry),1
Square,Edge (geometry),1
Quadrilateral,Geometry,1
Quadrilateral,Point (geometry),1
Tangent,Angle,1
Grade (slope),Geometry,1
Grade (slope),Line (geometry),1
Square,Line segment,1
Isosceles triangle,Triangle,1
Convex polygon,Polygon,1
Rhombus,Line (geometry),1
Inverse trigonometric functions,Angle,1
Reflection symmetry,Reflection (mathematics),1
Concentric,Geometry,1
Bisection,Midpoint,1
Rotation (mathematics),Geometry,1
Special right triangles,Right angle,1
Special right triangles,Triangle,1
Pythagorean triple,Pythagorean theorem,1
Circle,Geometry,1
Coordinate system,Two-dimensional space,1
Pythagorean triple,Right triangle,1
Kite (geometry),Line (geometry),1
Two-dimensional space,Plane (geometry),1
Exterior angle theorem,Angle,1
Hexagon,Vertex (geometry),1
Dodecagon,Angle,1
Secant line,Geometry,1
Rhombus,Quadrilateral,1
Coordinate system,Geometry,1
Right angle,Angle,1
Diameter,Line (geometry),1
Right triangle,Point (geometry),1
Heptagon,Geometry,1
Scaling (geometry),Scale factor,1
Dodecagon,Edge (geometry),1
Triangle,Geometry,1
Hendecagon,Line segment,1
Polyhedron,Edge (geometry),1
Sine,Angle,1
Tangent,Geometry,1
Star polygon,Line segment,1
Cartesian coordinate system,Coordinate system,1
Cartesian coordinate system,Perpendicular,1
Convex polygon,Geometry,1
Congruence (geometry),Angle,1
Square,Geometry,1
Coordinate system,Plane (geometry),1
Parallelogram,Edge (geometry),1
Special right triangles,Vertex (geometry),1
Pentagon,Edge (geometry),1
Perpendicular,Angle,1
Reflection symmetry,Symmetry,1
Rectangle,Point (geometry),1
Trigonometric functions,Polygon,1
Rotational symmetry,Symmetry,1
Rhombus,Edge (geometry),1
Translation (geometry),Symmetry,1
Right triangle,Polygon,1
Right triangle,Vertex (geometry),1
Reflection symmetry,Line (geometry),1
Heptagon,Vertex (geometry),1
Cone,Geometry,1
Sine,Geometry,1
