index,Concept,Prerequisite,label_prereq
0,Student's t-test,Sample (statistics),1
1,DBSCAN,Arithmetic mean,1
2,Biclustering,Arithmetic mean,1
3,Spectral clustering,Data analysis,1
4,OPTICS algorithm,Arithmetic mean,1
5,Pruning (decision trees),Probability density function,1
6,Maximum likelihood,Likelihood function,1
7,Multiclass classification,Machine learning,1
9,Random forest,Conditional probability,1
10,Pruning (decision trees),Decision tree learning,1
11,Spectral clustering,Standard deviation,1
12,Interquartile range,Median,1
13,F1 score,Standard deviation,1
14,Bayesian network,Probability density function,1
15,Data mining,Outlier,1
18,F1 score,Statistical population,1
19,AdaBoost,Ensemble learning,1
20,Naive Bayes classifier,Probability density function,1
21,Bayes' theorem,Conditional probability distribution,1
22,Boosting (machine learning),Probability density function,1
23,Maximum likelihood,Conditional probability,1
24,Level of measurement,Median,1
25,Interquartile range,Statistical dispersion,1
27,Statistical hypothesis testing,Confidence interval,1
28,Mutation (genetic algorithm),Natural selection,1
29,Support vector machine,Probability density function,1
30,OPTICS algorithm,Standard deviation,1
31,Maximum likelihood,Conditional probability distribution,1
32,K-medoids,Arithmetic mean,1
33,Statistical significance,Confidence interval,1
34,Feedforward neural network,Statistical classification,1
35,K-medoids,Data analysis,1
38,Boosting (machine learning),Joint probability distribution,1
39,Hierarchical clustering,Standard deviation,1
40,F1 score,Confidence interval,1
41,Biclustering,Correlation and dependence,1
42,Biclustering,Cluster analysis,1
43,Sensitivity and specificity,Statistical classification,1
44,Data mining,Confidence interval,1
46,Feedforward neural network,Joint probability distribution,1
47,Precision and recall,Type I and type II errors,1
49,Expectation–maximization algorithm,Maximum likelihood,1
50,Clustering high-dimensional data,Data analysis,1
51,Spectral clustering,Dimensionality reduction,1
52,Precision and recall,Statistical classification,1
54,Decision tree learning,Machine learning,1
55,DBSCAN,Cluster analysis,1
56,Least squares,Regression analysis,1
57,Hierarchical clustering,Cluster analysis,1
58,Data mining,Correlation and dependence,1
59,Precision and recall,Statistical population,1
60,Random forest,Decision tree learning,1
61,Bayesian network,Posterior probability,1
62,Clustering high-dimensional data,Correlation and dependence,1
63,Cluster analysis,Correlation and dependence,1
64,Decision tree model,Statistical classification,1
65,DBSCAN,Standard deviation,1
66,Precision and recall,Standard deviation,1
67,Expectation–maximization algorithm,Conditional probability,1
68,Type I and type II errors,Confidence interval,1
69,Support vector machine,Machine learning,1
70,Poisson regression,Regression analysis,1
71,Fuzzy clustering,Standard deviation,1
72,Decision tree learning,Conditional probability,1
73,Poisson regression,Conditional probability,1
74,DBSCAN,Data analysis,1
75,Conditional independence,Conditional probability,1
76,Sensitivity and specificity,False positives and false negatives,1
77,Clustering high-dimensional data,Standard deviation,1
78,Bayesian network,Likelihood function,1
79,Poisson regression,Conditional probability distribution,1
80,Genetic algorithm,Natural selection,1
81,Mutation (genetic algorithm),Genetic algorithm,1
82,Bayes' theorem,Conditional probability,1
83,K-means clustering,Cluster analysis,1
84,Decision tree learning,Probability density function,1
85,Confidence interval,Sample (statistics),1
86,Statistical hypothesis testing,Sample (statistics),1
87,Naive Bayes classifier,Correlation and dependence,1
88,K-means clustering,Probability density function,1
89,Fitness function,Natural selection,1
90,Naive Bayes classifier,Conditional independence,1
91,Least squares,Arithmetic mean,1
92,Bayesian network,Conditional independence,1
93,Principal component analysis,Dimensionality reduction,1
95,Backpropagation,Machine learning,1
96,Data mining,Sample (statistics),1
97,Random forest,Probability density function,1
98,Machine learning,Joint probability distribution,1
99,Principal component analysis,Arithmetic mean,1
100,Level of measurement,Statistical dispersion,1
101,Bayesian network,Maximum likelihood,1
102,Type I and type II errors,Statistical hypothesis testing,1
104,Principal component analysis,Standard deviation,1
105,Precision and recall,Sample (statistics),1
