index,Concept,Prerequisite,label_prereq
0,Student's t-test,Sample (statistics),1
1,DBSCAN,Arithmetic mean,1
2,Biclustering,Arithmetic mean,1
3,Spectral clustering,Data analysis,1
4,OPTICS algorithm,Arithmetic mean,1
5,Pruning (decision trees),Probability density function,1
7,Multiclass classification,Machine learning,1
8,Decision tree model,Conditional probability,1
9,Random forest,Conditional probability,1
10,Pruning (decision trees),Decision tree learning,1
12,Interquartile range,Median,1
13,F1 score,Standard deviation,1
14,Bayesian network,Probability density function,1
15,Data mining,Outlier,1
16,Anomaly detection,Cluster analysis,1
17,Artificial neural network,Statistical classification,1
19,AdaBoost,Ensemble learning,1
20,Naive Bayes classifier,Probability density function,1
21,Bayes' theorem,Conditional probability distribution,1
22,Boosting (machine learning),Probability density function,1
23,Maximum likelihood,Conditional probability,1
25,Interquartile range,Statistical dispersion,1
26,K-means clustering,Machine learning,1
27,Statistical hypothesis testing,Confidence interval,1
29,Support vector machine,Probability density function,1
30,OPTICS algorithm,Standard deviation,1
31,Maximum likelihood,Conditional probability distribution,1
32,K-medoids,Arithmetic mean,1
33,Statistical significance,Confidence interval,1
34,Feedforward neural network,Statistical classification,1
35,K-medoids,Data analysis,1
36,Statistical significance,Sample (statistics),1
37,Bayesian network,Prior probability,1
38,Boosting (machine learning),Joint probability distribution,1
39,Hierarchical clustering,Standard deviation,1
40,F1 score,Confidence interval,1
45,Decision tree learning,Decision tree,1
46,Feedforward neural network,Joint probability distribution,1
47,Precision and recall,Type I and type II errors,1
48,Mixture model,Data analysis,1
49,Expectation–maximization algorithm,Maximum likelihood,1
50,Clustering high-dimensional data,Data analysis,1
52,Precision and recall,Statistical classification,1
53,Decision tree learning,Statistical classification,1
54,Decision tree learning,Machine learning,1
57,Hierarchical clustering,Cluster analysis,1
58,Data mining,Correlation and dependence,1
59,Precision and recall,Statistical population,1
62,Clustering high-dimensional data,Correlation and dependence,1
63,Cluster analysis,Correlation and dependence,1
64,Decision tree model,Statistical classification,1
65,DBSCAN,Standard deviation,1
66,Precision and recall,Standard deviation,1
67,Expectation–maximization algorithm,Conditional probability,1
68,Type I and type II errors,Confidence interval,1
71,Fuzzy clustering,Standard deviation,1
72,Decision tree learning,Conditional probability,1
75,Conditional independence,Conditional probability,1
76,Sensitivity and specificity,False positives and false negatives,1
77,Clustering high-dimensional data,Standard deviation,1
78,Bayesian network,Likelihood function,1
80,Genetic algorithm,Natural selection,1
81,Mutation (genetic algorithm),Genetic algorithm,1
84,Decision tree learning,Probability density function,1
85,Confidence interval,Sample (statistics),1
86,Statistical hypothesis testing,Sample (statistics),1
87,Naive Bayes classifier,Correlation and dependence,1
88,K-means clustering,Probability density function,1
91,Least squares,Arithmetic mean,1
93,Principal component analysis,Dimensionality reduction,1
94,Student's t-test,Null hypothesis,1
95,Backpropagation,Machine learning,1
96,Data mining,Sample (statistics),1
97,Random forest,Probability density function,1
98,Machine learning,Joint probability distribution,1
99,Principal component analysis,Arithmetic mean,1
100,Level of measurement,Statistical dispersion,1
101,Bayesian network,Maximum likelihood,1
102,Type I and type II errors,Statistical hypothesis testing,1
103,Data mining,Arithmetic mean,1
105,Precision and recall,Sample (statistics),1
106,OPTICS algorithm,Cluster analysis,1
107,Random forest,Statistical classification,1
109,Fuzzy clustering,Cluster analysis,1
110,K-means clustering,Correlation and dependence,1
111,K-medoids,Cluster analysis,1
112,Association rule learning,Conditional probability,1
113,Backpropagation,Joint probability distribution,1
115,Random forest,Joint probability distribution,1
116,Decision tree,Conditional probability,1
117,Student's t-test,Confidence interval,1
118,Pruning (decision trees),Statistical classification,1
119,Biclustering,Standard deviation,1
120,Anomaly detection,Standard deviation,1
121,F1 score,Null hypothesis,1
