index,Concept,Prerequisite,label_prereq
0,Congruence (geometry),Line segment,1
1,Bisection,Point (geometry),1
2,Cartesian coordinate system,Line (geometry),1
3,Arc (geometry),Circle,1
4,Edge (geometry),Line (geometry),1
5,Diameter,Point (geometry),1
6,Square,Edge (geometry),1
7,Polygon,Line segment,1
8,Quadrilateral,Geometry,1
9,Quadrilateral,Point (geometry),1
10,Tangent,Angle,1
11,Grade (slope),Geometry,1
12,Grade (slope),Line (geometry),1
13,Square,Line segment,1
14,Isosceles triangle,Triangle,1
16,Convex polygon,Polygon,1
17,Rhombus,Line (geometry),1
18,Inverse trigonometric functions,Angle,1
19,Reflection symmetry,Reflection (mathematics),1
20,Concentric,Geometry,1
21,Bisection,Midpoint,1
22,Rotation (mathematics),Geometry,1
24,Special right triangles,Right angle,1
25,Special right triangles,Triangle,1
26,Pythagorean triple,Pythagorean theorem,1
27,Circle,Geometry,1
28,Coordinate system,Two-dimensional space,1
31,Line segment,Geometry,1
33,Radius,Line segment,1
34,Angle bisector theorem,Line segment,1
35,Two-dimensional space,Plane (geometry),1
36,Heptagon,Line segment,1
37,Exterior angle theorem,Angle,1
38,Hexagon,Vertex (geometry),1
39,Dodecagon,Angle,1
40,Secant line,Geometry,1
41,Rhombus,Quadrilateral,1
42,Coordinate system,Geometry,1
45,Right triangle,Point (geometry),1
46,Heptagon,Geometry,1
47,Scaling (geometry),Scale factor,1
48,Dodecagon,Edge (geometry),1
50,Triangle,Geometry,1
52,Polyhedron,Edge (geometry),1
53,Sine,Angle,1
54,Tangent,Geometry,1
55,Star polygon,Line segment,1
57,Kite (geometry),Angle,1
58,Cartesian coordinate system,Perpendicular,1
60,Hendecagon,Vertex (geometry),1
61,Internal and external angle,Line segment,1
62,Convex polygon,Geometry,1
63,Congruence (geometry),Angle,1
64,Square,Geometry,1
66,Parallelogram,Edge (geometry),1
68,Special right triangles,Vertex (geometry),1
71,Perpendicular,Angle,1
72,Reflection symmetry,Symmetry,1
74,Trigonometric functions,Polygon,1
75,Rotational symmetry,Symmetry,1
77,Translation (geometry),Symmetry,1
79,Right triangle,Vertex (geometry),1
80,Reflection symmetry,Line (geometry),1
81,Heptagon,Vertex (geometry),1
82,Cone,Geometry,1
83,Pyramid (geometry),Line segment,1
84,Pythagorean triple,Line segment,1
85,Sine,Geometry,1
86,Prism (geometry),Polygon,1
87,Rhombus,Parallelogram,1
88,Collinearity,Point (geometry),1
89,Acute and obtuse triangles,Triangle,1
90,Trigonometric functions,Line (geometry),1
91,Star polygon,Angle,1
92,Parallelogram,Parallel (geometry),1
93,Arc length,Distance,1
94,Rhombus,Vertex (geometry),1
95,Rectangle,Right angle,1
96,Inverse trigonometric functions,Trigonometric functions,1
97,Trigonometric functions,Edge (geometry),1
98,Chord (geometry),Geometry,1
102,Diagonal,Angle,1
103,Right triangle,Geometry,1
104,Coordinate system,Point (geometry),1
105,Inverse trigonometric functions,Vertex (geometry),1
106,Pythagorean theorem,Edge (geometry),1
108,Self-similarity,Symmetry,1
110,Altitude (triangle),Triangle,1
111,Altitude (triangle),Geometry,1
112,Edge (geometry),Line segment,1
113,Equilateral triangle,Angle,1
114,Rigid transformation,Rotation (mathematics),1
116,Sine,Point (geometry),1
117,Square,Quadrilateral,1
118,Convex polygon,Edge (geometry),1
119,Kite (geometry),Point (geometry),1
120,Trapezoid,Angle,1
121,Skew lines,Plane (geometry),1
122,Polyhedron,Geometry,1
125,Cross section (geometry),Geometry,1
126,Rigid transformation,Geometry,1
127,Nonagon,Angle,1
129,Reflection (mathematics),Line (geometry),1
130,Rectangle,Angle,1
131,Equilateral triangle,Geometry,1
132,Octagon,Line segment,1
133,Sphere,Geometry,1
134,Internal and external angle,Vertex (geometry),1
136,Rhombus,Point (geometry),1
137,Rotational symmetry,Point (geometry),1
138,Reflection (mathematics),Geometry,1
139,Cartesian coordinate system,Geometry,1
140,Acute and obtuse triangles,Vertex (geometry),1
142,Sine,Polygon,1
143,Transversal (geometry),Plane (geometry),1
144,Square,Right angle,1
145,Pythagorean triple,Triangle,1
146,Polyhedron,Line (geometry),1
147,Square,Vertex (geometry),1
148,Angle bisector theorem,Polygon,1
149,Pentagon,Angle,1
150,Rigid transformation,Point (geometry),1
151,Rigid transformation,Reflection (mathematics),1
152,Hendecagon,Angle,1
153,Cylinder (geometry),Circle,1
154,Exterior angle theorem,Edge (geometry),1
155,Decagon,Edge (geometry),1
156,Arc length,Arc (geometry),1
157,Trigonometric functions,Point (geometry),1
158,Secant line,Point (geometry),1
159,Altitude (triangle),Line (geometry),1
160,Star polygon,Edge (geometry),1
161,Decagon,Line (geometry),1
164,Rectangle,Vertex (geometry),1
165,Line segment,Point (geometry),1
166,Altitude (triangle),Point (geometry),1
167,Inverse trigonometric functions,Line (geometry),1
169,Right angle,Line (geometry),1
171,Chord (geometry),Line (geometry),1
172,Kite (geometry),Edge (geometry),1
174,Altitude (triangle),Polygon,1
176,Inverse trigonometric functions,Line segment,1
177,Angle bisector theorem,Point (geometry),1
178,Polygon,Geometry,1
179,Circumference,Circle,1
180,Diameter,Radius,1
181,Star polygon,Vertex (geometry),1
182,Inverse trigonometric functions,Polygon,1
183,Heptagon,Point (geometry),1
186,Quadrilateral,Vertex (geometry),1
187,Rotation (mathematics),Angle,1
189,Midpoint,Line (geometry),1
190,Pyramid (geometry),Edge (geometry),1
191,Cross section (geometry),Plane (geometry),1
192,Vertex (geometry),Geometry,1
193,Reflection symmetry,Geometry,1
194,Hendecagon,Geometry,1
195,Congruence (geometry),Line (geometry),1
196,Diagonal,Vertex (geometry),1
197,Self-similarity,Geometry,1
200,Arc (geometry),Geometry,1
201,Cartesian coordinate system,Point (geometry),1
202,Diagonal,Line segment,1
204,Triangle inequality,Line segment,1
205,Trigonometric functions,Triangle,1
206,Special right triangles,Line segment,1
207,Decagon,Point (geometry),1
208,Pentagon,Point (geometry),1
209,Rotation (mathematics),Symmetry,1
211,Pythagorean theorem,Line segment,1
213,Equilateral triangle,Line segment,1
214,Exterior angle theorem,Point (geometry),1
215,Pythagorean triple,Polygon,1
216,Angle bisector theorem,Geometry,1
217,Tangent,Line (geometry),1
218,Rectangle,Quadrilateral,1
219,Triangle,Line (geometry),1
221,Slope,Geometry,1
222,Line (geometry),Point (geometry),1
223,Rotational symmetry,Rotation (mathematics),1
224,Nonagon,Line segment,1
225,Prism (geometry),Geometry,1
227,Rotational symmetry,Line (geometry),1
228,Acute and obtuse triangles,Angle,1
229,Vertex (geometry),Point (geometry),1
230,Inverse trigonometric functions,Geometry,1
232,Acute and obtuse triangles,Point (geometry),1
233,Hexagon,Line segment,1
234,Parallelogram,Geometry,1
235,Angle bisector theorem,Angle,1
236,Congruence (geometry),Point (geometry),1
238,Point (geometry),Geometry,1
241,Polygon,Point (geometry),1
242,Quadrilateral,Line segment,1
243,Rotation (mathematics),Line (geometry),1
245,Triangle inequality,Polygon,1
246,Reflection symmetry,Point (geometry),1
248,Isosceles triangle,Polygon,1
249,Prism (geometry),Face (geometry),1
250,Nonagon,Line (geometry),1
252,Rectangle,Parallelogram,1
253,Tangent,Point (geometry),1
254,Rhombus,Geometry,1
255,Cartesian coordinate system,Angle,1
256,Trapezoid,Geometry,1
257,Reflection (mathematics),Symmetry,1
258,Pythagorean theorem,Line (geometry),1
260,Pythagorean triple,Edge (geometry),1
262,Equilateral triangle,Line (geometry),1
263,Quadrilateral,Line (geometry),1
264,Bisection,Perpendicular,1
265,Trapezoid,Line (geometry),1
266,Right triangle,Triangle,1
267,Octagon,Vertex (geometry),1
268,Tangent,Trigonometric functions,1
269,Prism (geometry),Polyhedron,1
272,Tessellation,Plane (geometry),1
273,Congruence (geometry),Vertex (geometry),1
276,Triangle,Polygon,1
277,Octagon,Angle,1
278,Equilateral triangle,Polygon,1
279,Square,Parallel (geometry),1
280,Reflection (mathematics),Angle,1
281,Symmetry,Geometry,1
282,Parallelogram,Line segment,1
283,Rotation (mathematics),Point (geometry),1
284,Sine,Triangle,1
285,Heptagon,Polygon,1
286,Isosceles triangle,Angle,1
287,Trapezoid,Point (geometry),1
288,Face (geometry),Geometry,1
290,Special right triangles,Edge (geometry),1
291,Right triangle,Line (geometry),1
292,Rotational symmetry,Geometry,1
293,Rectangle,Polygon,1
294,Triangle,Vertex (geometry),1
295,Acute and obtuse triangles,Line segment,1
296,Pythagorean theorem,Triangle,1
299,Square,Parallelogram,1
301,Internal and external angle,Point (geometry),1
302,Trigonometric functions,Line segment,1
304,Diagonal,Edge (geometry),1
305,Special right triangles,Line (geometry),1
306,Rhombus,Polygon,1
307,Reflection symmetry,Angle,1
308,Triangle,Point (geometry),1
309,Triangle inequality,Line (geometry),1
310,Altitude (triangle),Line segment,1
311,Collinearity,Geometry,1
312,Skew lines,Line (geometry),1
313,Edge (geometry),Point (geometry),1
314,Equilateral triangle,Edge (geometry),1
315,Sine,Line (geometry),1
317,Exterior angle theorem,Triangle,1
318,Isosceles triangle,Line (geometry),1
319,Star polygon,Point (geometry),1
320,Grade (slope),Point (geometry),1
321,Pyramid (geometry),Point (geometry),1
322,Acute and obtuse triangles,Edge (geometry),1
323,Hendecagon,Polygon,1
325,Dodecagon,Line (geometry),1
326,Special right triangles,Polygon,1
327,Pythagorean theorem,Polygon,1
328,Rigid transformation,Angle,1
329,Trigonometric functions,Vertex (geometry),1
330,Hendecagon,Point (geometry),1
333,Grade (slope),Slope,1
334,Equilateral triangle,Triangle,1
335,Diameter,Chord (geometry),1
336,Altitude (triangle),Perpendicular,1
337,Dodecagon,Geometry,1
338,Quadrilateral,Edge (geometry),1
340,Hendecagon,Line (geometry),1
341,Bisection,Angle,1
343,Transversal (geometry),Line (geometry),1
345,Reflection (mathematics),Point (geometry),1
346,Altitude (triangle),Angle,1
347,Chord (geometry),Circle,1
348,Skew lines,Geometry,1
349,Diameter,Circle,1
354,Convex polygon,Vertex (geometry),1
355,Tessellation,Geometry,1
356,Arc length,Geometry,1
357,Dodecagon,Line segment,1
358,Decagon,Line segment,1
359,Inverse trigonometric functions,Point (geometry),1
360,Heptagon,Line (geometry),1
361,Pythagorean theorem,Point (geometry),1
362,Pyramid (geometry),Vertex (geometry),1
363,Radius,Line (geometry),1
364,Cone,Circle,1
365,Kite (geometry),Line segment,1
368,Parallelogram,Angle,1
369,Exterior angle theorem,Vertex (geometry),1
370,Tangent,Triangle,1
372,Internal and external angle,Edge (geometry),1
373,Polyhedron,Line segment,1
375,Heptagon,Edge (geometry),1
376,Octagon,Polygon,1
377,Two-dimensional space,Geometry,1
378,Octagon,Point (geometry),1
379,Rhombus,Line segment,1
380,Square,Point (geometry),1
383,Kite (geometry),Quadrilateral,1
384,Octagon,Line (geometry),1
385,Pentagon,Line (geometry),1
386,Acute and obtuse triangles,Polygon,1
387,Edge (geometry),Geometry,1
388,Rhombus,Parallel (geometry),1
389,Right angle,Point (geometry),1
390,Exterior angle theorem,Polygon,1
391,Dodecagon,Polygon,1
392,Decagon,Angle,1
393,Square,Rectangle,1
394,Sine,Line segment,1
395,Internal and external angle,Polygon,1
396,Tangent,Edge (geometry),1
397,Plane (geometry),Geometry,1
399,Two-dimensional space,Point (geometry),1
400,Pythagorean theorem,Geometry,1
401,Arc length,Circle,1
402,Polygon,Vertex (geometry),1
403,Acute and obtuse triangles,Line (geometry),1
404,Isosceles triangle,Point (geometry),1
406,Prism (geometry),Vertex (geometry),1
407,Sine,Vertex (geometry),1
409,Radius,Point (geometry),1
410,Nonagon,Geometry,1
412,Skew lines,Point (geometry),1
417,Parallel (geometry),Point (geometry),1
418,Perpendicular,Geometry,1
419,Slope,Point (geometry),1
421,Right triangle,Line segment,1
423,Triangle inequality,Angle,1
424,Polyhedron,Face (geometry),1
425,Angle bisector theorem,Bisection,1
427,Special right triangles,Right triangle,1
428,Parallelogram,Line (geometry),1
430,Altitude (triangle),Edge (geometry),1
431,Right triangle,Edge (geometry),1
434,Radius,Geometry,1
435,Pythagorean theorem,Right angle,1
436,Circumference,Geometry,1
437,Rigid transformation,Translation (geometry),1
440,Prism (geometry),Parallel (geometry),1
441,Square,Angle,1
442,Slope,Line (geometry),1
443,Internal and external angle,Geometry,1
444,Angle bisector theorem,Edge (geometry),1
445,Bisection,Line (geometry),1
446,Line (geometry),Geometry,1
447,Inverse trigonometric functions,Sine,1
448,Trigonometric functions,Geometry,1
449,Diagonal,Point (geometry),1
451,Angle bisector theorem,Line (geometry),1
452,Pythagorean theorem,Angle,1
454,Radius,Circle,1
455,Transversal (geometry),Geometry,1
456,Diagonal,Polygon,1
457,Angle,Line (geometry),1
458,Equilateral triangle,Point (geometry),1
459,Triangle,Line segment,1
460,Decagon,Polygon,1
461,Pythagorean triple,Geometry,1
463,Pythagorean triple,Angle,1
465,Congruence (geometry),Geometry,1
466,Translation (geometry),Geometry,1
467,Square,Line (geometry),1
468,Convex polygon,Line (geometry),1
469,Nonagon,Point (geometry),1
470,Midpoint,Geometry,1
471,Hexagon,Line (geometry),1
472,Transversal (geometry),Point (geometry),1
473,Collinearity,Line (geometry),1
474,Nonagon,Polygon,1
475,Bisection,Geometry,1
476,Pythagorean triple,Vertex (geometry),1
477,Triangle inequality,Geometry,1
479,Triangle inequality,Point (geometry),1
480,Rhombus,Angle,1
484,Special right triangles,Geometry,1
485,Internal and external angle,Angle,1
487,Special right triangles,Point (geometry),1
488,Pentagon,Line segment,1
489,Parallelogram,Polygon,1
