index,Concept,Prerequisite,label_prereq
1,Exponentiation,Number,1
2,Matrix multiplication,Number,1
4,Descartes' rule of signs,Number,1
6,Cartesian coordinate system,Line (geometry),1
8,Sine,Geometry,1
9,Algebraic equation,Mathematics,1
11,Partial fraction decomposition,Factorization,1
13,Binomial theorem,Addition,1
14,Rational root theorem,Equality (mathematics),1
15,Domain of a function,Mathematics,1
16,Algebraic equation,Equation,1
17,Algebraic expression,Algebra,1
18,Monotonic function,Function (mathematics),1
19,Polynomial long division,Arithmetic,1
20,Rational root theorem,Rational number,1
21,Algebraic expression,Arithmetic,1
22,Exponential growth,Arithmetic,1
23,Rotation (mathematics),Mathematics,1
25,Linear inequality,Number,1
26,Minor (linear algebra),Matrix (mathematics),1
28,Product (mathematics),Mathematics,1
29,Linear function,Mathematics,1
30,Factorization,Multiplication,1
31,Asymptote,Geometry,1
32,Homogeneous polynomial,Arithmetic,1
34,Binomial theorem,Polynomial,1
35,Arithmetic,Mathematics,1
36,Eccentricity (mathematics),Curve,1
37,Imaginary number,Number,1
38,Dependent and independent variables,Function (mathematics),1
39,Chord (geometry),Circle,1
40,Parallel (geometry),Line (geometry),1
43,Synthetic division,Arithmetic,1
44,Algebra,Number,1
45,Sine wave,Mathematics,1
46,Circle,Geometry,1
48,Linear function,Calculus,1
49,Synthetic division,Polynomial long division,1
50,Inequality (mathematics),Mathematics,1
51,Linear inequality,Inequality (mathematics),1
53,Synthetic division,Mathematics,1
54,Line segment,Geometry,1
56,Radius,Line segment,1
57,Linear equation,Line (geometry),1
58,Natural logarithm,Base (exponentiation),1
59,Division by zero,Mathematics,1
61,Line–line intersection,Point (geometry),1
62,Inequality (mathematics),Equality (mathematics),1
63,Square root,Mathematics,1
64,Slope,Mathematics,1
65,Unit circle,Curve,1
67,Binary number,Number,1
69,Limit of a function,Function (mathematics),1
70,Law of sines,Line segment,1
71,Minor (linear algebra),Square matrix,1
72,Quadrant (plane geometry),Geometry,1
73,Coordinate system,Geometry,1
75,Common logarithm,Arithmetic,1
76,Synthetic division,Polynomial,1
78,Right triangle,Point (geometry),1
79,Algebraic expression,Mathematics,1
81,Identity matrix,Square matrix,1
83,Law of sines,Mathematics,1
84,Scalar multiplication,Mathematics,1
86,Rational root theorem,Integer,1
87,Matrix multiplication,Matrix (mathematics),1
89,Binomial coefficient,Binomial theorem,1
90,Edge,Line (geometry),1
91,Solution of triangles,Triangle,1
93,Triangle,Geometry,1
95,Linear inequality,Equality (mathematics),1
98,Cartesian coordinate system,Coordinate system,1
99,Cartesian coordinate system,Perpendicular,1
100,Circular sector,Mathematics,1
101,Descartes' rule of signs,Polynomial,1
103,Scalar (mathematics),Vector (mathematics and physics),1
104,Analytic geometry,Coordinate system,1
107,Pythagorean trigonometric identity,Trigonometric functions,1
108,System of linear equations,Linear equation,1
109,Quadratic function,Function (mathematics),1
111,Fundamental theorem of algebra,Real number,1
112,Orientation (geometry),Mathematics,1
113,Law of sines,Trigonometry,1
