index,Concept,Prerequisite,label_prereq
0,Differential equation,Number,1
1,Exponentiation,Number,1
2,Matrix multiplication,Number,1
3,Asymptote,Line (geometry),1
4,Descartes' rule of signs,Number,1
5,Binomial coefficient,Polynomial,1
6,Cartesian coordinate system,Line (geometry),1
7,Partial fraction decomposition,Arithmetic,1
8,Sine,Geometry,1
9,Algebraic equation,Mathematics,1
10,Polygon,Line segment,1
11,Partial fraction decomposition,Factorization,1
12,Unit circle,Mathematics,1
13,Binomial theorem,Addition,1
14,Rational root theorem,Equality (mathematics),1
15,Domain of a function,Mathematics,1
16,Algebraic equation,Equation,1
17,Algebraic expression,Algebra,1
18,Monotonic function,Function (mathematics),1
19,Polynomial long division,Arithmetic,1
20,Rational root theorem,Rational number,1
21,Algebraic expression,Arithmetic,1
22,Exponential growth,Arithmetic,1
24,Continuous function,Mathematics,1
26,Minor (linear algebra),Matrix (mathematics),1
27,Asymptote,Mathematics,1
28,Product (mathematics),Mathematics,1
31,Asymptote,Geometry,1
33,Partial fraction decomposition,Number,1
34,Binomial theorem,Polynomial,1
35,Arithmetic,Mathematics,1
36,Eccentricity (mathematics),Curve,1
37,Imaginary number,Number,1
38,Dependent and independent variables,Function (mathematics),1
40,Parallel (geometry),Line (geometry),1
41,Trigonometric functions,Mathematics,1
42,Polynomial,Addition,1
43,Synthetic division,Arithmetic,1
46,Circle,Geometry,1
47,Empty sum,Arithmetic,1
48,Linear function,Calculus,1
50,Inequality (mathematics),Mathematics,1
51,Linear inequality,Inequality (mathematics),1
52,Multiplicative inverse,Division (mathematics),1
53,Synthetic division,Mathematics,1
54,Line segment,Geometry,1
55,Function composition,Function (mathematics),1
57,Linear equation,Line (geometry),1
58,Natural logarithm,Base (exponentiation),1
60,Natural logarithm,E (mathematical constant),1
61,Line–line intersection,Point (geometry),1
62,Inequality (mathematics),Equality (mathematics),1
64,Slope,Mathematics,1
66,Imaginary number,Real number,1
67,Binary number,Number,1
68,Mathematical proof,Mathematics,1
71,Minor (linear algebra),Square matrix,1
72,Quadrant (plane geometry),Geometry,1
74,Right angle,Angle,1
75,Common logarithm,Arithmetic,1
